season,week,home_team,away_team,home_points,away_points,spread,neutral_site,venue,favorite,underdog,winner,underdog_win
2021,4,Seton Hill,Slippery Rock,17,41,0.0,False,Offutt Field,Slippery Rock,Seton Hill,Slippery Rock,0
2021,4,Edward Waters,Lane College,35,45,0.0,False,Earl Kitchings Stadium,Lane College,Edward Waters,Lane College,0
2021,4,Youngstown State,Western Illinois,35,38,0.0,False,Stambaugh Stadium,Western Illinois,Youngstown State,Western Illinois,0
2021,4,Old Dominion,Buffalo,34,35,0.0,False,S.B. Ballard Stadium,Buffalo,Old Dominion,Buffalo,0
2021,4,Stanford,UCLA,24,35,0.0,False,Stanford Stadium,UCLA,Stanford,UCLA,0
2021,4,Georgia Southern,Louisiana,20,28,0.0,False,Allen E. Paulson Stadium,Louisiana,Georgia Southern,Louisiana,0
2021,4,Gardner-Webb,Western Carolina,52,34,0.0,False,Ernest W. Spangler Stadium,Western Carolina,Gardner-Webb,Gardner-Webb,1
2021,4,North Carolina A&T,North Carolina Central,37,14,0.0,False,Aggie Stadium,North Carolina Central,North Carolina A&T,North Carolina A&T,1
2021,4,Marist,Bryant,17,34,0.0,False,Leonidoff Field,Bryant,Marist,Bryant,0
2021,4,Alabama State,Bethune-Cookman,38,24,0.0,False,Hornet Stadium,Bethune-Cookman,Alabama State,Alabama State,1
2021,4,Rice,Texas Southern,48,34,0.0,False,Rice Stadium,Texas Southern,Rice,Rice,1
2021,4,Lamar,Abilene Christian,0,56,0.0,False,Provost Umphrey Stadium,Abilene Christian,Lamar,Abilene Christian,0
2021,4,Louisiana Tech,North Texas,24,17,0.0,False,Joe Aillet Stadium,North Texas,Louisiana Tech,Louisiana Tech,1
2021,4,South Carolina,Kentucky,10,16,0.0,False,Williams-Brice Stadium,Kentucky,South Carolina,Kentucky,0
2021,4,Michigan State,Nebraska,23,20,0.0,False,Spartan Stadium,Nebraska,Michigan State,Michigan State,1
2021,4,Florida,Tennessee,38,14,0.0,False,Ben Hill Griffin Stadium,Tennessee,Florida,Florida,1
2021,4,Tarleton State,New Mexico Highlands,40,21,0.0,False,"Memorial Stadium (Stephenville, TX)",New Mexico Highlands,Tarleton State,Tarleton State,1
2021,4,Northern State,Sioux Falls,41,10,0.0,False,Swisher Field,Sioux Falls,Northern State,Northern State,1
2021,4,Miles College,Central State (OH),55,4,0.0,False,Albert J. H. Sloan - Alumni Stadium,Central State (OH),Miles College,Miles College,1
2021,4,Southwestern Oklahoma State,Oklahoma Baptist,27,31,0.0,False,Milam Stadium,Oklahoma Baptist,Southwestern Oklahoma State,Oklahoma Baptist,0
2021,4,Henderson State,Southern Arkansas,56,49,0.0,False,Ruggles Field at Carpenter-Haygood Stadium,Southern Arkansas,Henderson State,Henderson State,1
2021,4,Harding University,Ouachita Baptist,38,21,0.0,False,First Security Stadium,Ouachita Baptist,Harding University,Harding University,1
2021,4,Northwestern Oklahoma State,East Central (OK),17,20,0.0,False,Ranger Field,East Central (OK),Northwestern Oklahoma State,East Central (OK),0
2021,4,Arkansas Tech,Arkansas-Monticello,20,27,0.0,False,Thone Stadium at Buerkle Field,Arkansas-Monticello,Arkansas Tech,Arkansas-Monticello,0
2021,4,Fayetteville State,Virginia St,28,14,0.0,False,"Luther ""Nick"" Jeralds Stadium",Virginia St,Fayetteville State,Fayetteville State,1
2021,4,Stephen F. Austin,Lincoln (CA),61,13,0.0,False,Homer Bryce Stadium,Lincoln (CA),Stephen F. Austin,Stephen F. Austin,1
2021,4,Albany State GA,Clark Atlanta,49,0,0.0,False,Albany State University Coliseum,Clark Atlanta,Albany State GA,Albany State GA,1
2021,4,Houston,Navy,28,20,0.0,False,TDECU Stadium,Navy,Houston,Houston,1
2021,4,Oklahoma State,Kansas State,31,20,0.0,False,Boone Pickens Stadium,Kansas State,Oklahoma State,Oklahoma State,1
2021,4,Central Washington,Angelo State,9,14,0.0,False,Tomlinson Stadium,Angelo State,Central Washington,Angelo State,0
2021,4,Minot State,Minnesota State Mankato,10,68,0.0,False,Herb Parker Stadium,Minnesota State Mankato,Minot State,Minnesota State Mankato,0
2021,4,Limestone,Wilson,7,45,0.0,False,The Reservation,Wilson,Limestone,Wilson,0
2021,4,Minnesota Duluth,Wayne State (NE),28,31,0.0,False,James S. Malosky Stadium,Wayne State (NE),Minnesota Duluth,Wayne State (NE),0
2021,4,Georgia Tech,North Carolina,45,22,0.0,True,Mercedes-Benz Stadium,North Carolina,Georgia Tech,Georgia Tech,1
2021,4,Oklahoma,West Virginia,16,13,0.0,False,"Memorial Stadium (Norman, OK)",West Virginia,Oklahoma,Oklahoma,1
2021,4,Ohio State,Akron,59,7,0.0,False,Ohio Stadium,Akron,Ohio State,Ohio State,1
2021,4,Alabama,Southern Miss,63,14,0.0,False,Bryant-Denny Stadium,Southern Miss,Alabama,Alabama,1
2021,4,Western Kentucky,Indiana,31,33,0.0,False,Houchens Industries-L.T. Smith Stadium,Indiana,Western Kentucky,Indiana,0
2021,4,Southern Utah,Eastern Washington,21,50,0.0,False,Eccles Coliseum,Eastern Washington,Southern Utah,Eastern Washington,0
2021,4,Weber State,UC Davis,14,17,0.0,False,Stewart Stadium,UC Davis,Weber State,UC Davis,0
2021,4,Missouri State,South Dakota,31,23,0.0,False,Plaster Sports Complex,South Dakota,Missouri State,Missouri State,1
2021,4,Tulane,UAB,21,28,0.0,False,Yulman Stadium,UAB,Tulane,UAB,0
2021,4,Air Force,Florida Atlantic,31,7,0.0,False,Falcon Stadium,Florida Atlantic,Air Force,Air Force,1
2021,4,UL Monroe,Troy,29,16,0.0,False,Malone Stadium,Troy,UL Monroe,UL Monroe,1
2021,4,New Mexico State,Hawai'i,21,41,0.0,False,Aggie Memorial Stadium,Hawai'i,New Mexico State,Hawai'i,0
2021,4,Texas A&M-Kingsville,East Texas A&M,10,35,0.0,False,Javelina Stadium,East Texas A&M,Texas A&M-Kingsville,East Texas A&M,0
2021,4,Mississippi College,West Alabama,28,31,0.0,False,Robinson-Hale Stadium,West Alabama,Mississippi College,West Alabama,0
2021,4,Western New Mexico,UT Permian Basin,19,27,0.0,False,Ben Altamirano Field,UT Permian Basin,Western New Mexico,UT Permian Basin,0
2021,4,Pittsburg St,Emporia State University,30,28,0.0,False,Carnie Smith Stadium,Emporia State University,Pittsburg St,Pittsburg St,1
2021,4,West Texas A&M,Colorado School Of Mines,13,21,0.0,False,Buffalo Stadium,Colorado School Of Mines,West Texas A&M,Colorado School Of Mines,0
2021,4,Midwestern State,Eastern New Mexico,31,24,0.0,False,"Memorial Stadium (Wichita Falls, TX)",Eastern New Mexico,Midwestern State,Midwestern State,1
2021,4,Simon Fraser,Western Oregon,7,24,0.0,False,Terry Fox Field,Western Oregon,Simon Fraser,Western Oregon,0
2021,4,UTEP,New Mexico,20,13,0.0,False,Sun Bowl,New Mexico,UTEP,UTEP,1
2021,4,Washington,California,31,24,0.0,False,Husky Stadium,California,Washington,Washington,1
2021,4,BYU,South Florida,35,27,0.0,False,LaVell Edwards Stadium,South Florida,BYU,BYU,1
2021,4,Oregon,Arizona,41,19,0.0,False,Autzen Stadium,Arizona,Oregon,Oregon,1
2021,4,Arizona State,Colorado,35,13,0.0,False,Mountain America Stadium,Colorado,Arizona State,Arizona State,1
2021,4,USC,Oregon State,27,45,0.0,False,Los Angeles Memorial Coliseum,Oregon State,USC,Oregon State,0
2021,5,Mississippi Valley State,Southern,25,38,0.0,True,Mississippi Veterans Memorial Stadium,Southern,Mississippi Valley State,Southern,0
2021,5,Walsh,Ashland,10,35,0.0,False,Tom Benson Hall of Fame Stadium,Ashland,Walsh,Ashland,0
2021,5,Prairie View A&M,Arkansas-Pine Bluff,27,17,0.0,False,Panther Stadium,Arkansas-Pine Bluff,Prairie View A&M,Prairie View A&M,1
2021,5,Miami,Virginia,28,30,0.0,False,Hard Rock Stadium,Virginia,Miami,Virginia,0
2021,5,Pennsylvania,Dartmouth,7,31,0.0,False,Franklin Field,Dartmouth,Pennsylvania,Dartmouth,0
2021,5,Southern Connecticut State,American International,23,7,0.0,False,Jess Dow Field,American International,Southern Connecticut State,Southern Connecticut State,1
2021,5,Tulsa,Houston,10,45,0.0,False,Chapman Stadium,Houston,Tulsa,Houston,0
2021,5,Maryland,Iowa,14,51,0.0,False,SECU Stadium,Iowa,Maryland,Iowa,0
2021,5,Utah State,BYU,20,34,0.0,False,Maverik Stadium,BYU,Utah State,BYU,0
2021,5,Temple,Memphis,34,31,0.0,False,Lincoln Financial Field,Memphis,Temple,Temple,1
2021,5,Purdue,Minnesota,13,20,0.0,False,Ross-Ade Stadium,Minnesota,Purdue,Minnesota,0
2021,5,North Carolina,Duke,38,7,0.0,False,Kenan Stadium,Duke,North Carolina,North Carolina,1
2021,5,Georgia Tech,Pittsburgh,21,52,0.0,False,Bobby Dodd Stadium,Pittsburgh,Georgia Tech,Pittsburgh,0
2021,5,Missouri,Tennessee,24,62,0.0,False,Memorial Stadium,Tennessee,Missouri,Tennessee,0
2021,5,Wisconsin,Michigan,17,38,0.0,False,Camp Randall Stadium,Michigan,Wisconsin,Michigan,0
2021,5,Georgia,Arkansas,37,0,0.0,False,Sanford Stadium,Arkansas,Georgia,Georgia,1
2021,5,Rhode Island,Stony Brook,27,20,0.0,False,Meade Stadium,Stony Brook,Rhode Island,Rhode Island,1
2021,5,Morgan State,St. Francis (PA),14,27,0.0,False,Hughes Stadium,St. Francis (PA),Morgan State,St. Francis (PA),0
2021,5,Butler,Drake,3,6,0.0,False,Butler Bowl,Drake,Butler,Drake,0
2021,5,Lehigh,Yale,0,34,0.0,False,Goodman Stadium,Yale,Lehigh,Yale,0
2021,5,Buffalo,Western Michigan,17,24,0.0,False,UB Stadium,Western Michigan,Buffalo,Western Michigan,0
2021,5,TCU,Texas,27,32,0.0,False,Amon G. Carter Stadium,Texas,TCU,Texas,0
2021,5,Massachusetts,Toledo,7,45,0.0,False,Warren McGuirk Alumni Stadium,Toledo,Massachusetts,Toledo,0
2021,5,Millersville,Lock Haven University,31,29,0.0,False,Chryst Field at Biemesderfer Stadium,Lock Haven University,Millersville,Millersville,1
2021,5,University Of Charleston (WV),Notre Dame College,38,28,0.0,False,University of Charleston Stadium,Notre Dame College,University Of Charleston (WV),University Of Charleston (WV),1
2021,5,Illinois,Charlotte,24,14,0.0,False,"Memorial Stadium (Champaign, IL)",Charlotte,Illinois,Illinois,1
2021,5,Pace,New Haven,14,28,0.0,False,Pace Stadium,New Haven,Pace,New Haven,0
2021,5,Shepherd,Shippensburg,59,27,0.0,False,Ram Stadium (WV),Shippensburg,Shepherd,Shepherd,1
2021,5,Kutztown University,East Stroudsburg University,21,14,0.0,False,Andre Reed Stadium,East Stroudsburg University,Kutztown University,Kutztown University,1
2021,5,Georgetown,Colgate,21,28,0.0,False,Cooper Field,Colgate,Georgetown,Colgate,0
2021,5,Wake Forest,Louisville,37,34,0.0,False,Allegacy Federal Credit Union Stadium,Louisville,Wake Forest,Wake Forest,1
2021,5,Valparaiso,Marist,24,27,0.0,False,Brown Field,Marist,Valparaiso,Marist,0
2021,5,Princeton,Columbia,24,7,0.0,False,Princeton University Stadium,Columbia,Princeton,Princeton,1
2021,5,North Carolina A&T,Robert Morris,41,14,0.0,False,Aggie Stadium,Robert Morris,North Carolina A&T,North Carolina A&T,1
2021,5,Monmouth,Gardner-Webb,54,17,0.0,False,Kessler Stadium,Gardner-Webb,Monmouth,Monmouth,1
2021,5,Virginia Union,Shaw,7,27,0.0,False,Hovey Field,Shaw,Virginia Union,Shaw,0
2021,5,Howard,Sacred Heart,22,17,0.0,False,William H. Greene Stadium,Sacred Heart,Howard,Howard,1
2021,5,McNeese,SE Louisiana,35,38,0.0,False,Cowboy Stadium,SE Louisiana,McNeese,SE Louisiana,0
2021,5,Merrimack,Duquesne,14,37,0.0,False,Duane Stadium,Duquesne,Merrimack,Duquesne,0
2021,5,Stetson,Davidson,28,35,0.0,False,Spec Martin Municipal Stadium,Davidson,Stetson,Davidson,0
2021,5,Ouachita Baptist,Northwestern Oklahoma State,64,17,0.0,False,Cliff Harris Stadium,Northwestern Oklahoma State,Ouachita Baptist,Ouachita Baptist,1
2021,5,Michigan Tech,Davenport,31,7,0.0,False,Sherman Field,Davenport,Michigan Tech,Michigan Tech,1
2021,5,Northwood (MI),Ferris State,25,67,0.0,False,Hantz Stadium,Ferris State,Northwood (MI),Ferris State,0
2021,5,Kentucky State,Savannah St,17,21,0.0,False,Alumni Stadium (KY),Savannah St,Kentucky State,Savannah St,0
2021,5,Minnesota State Moorhead,Minnesota Duluth,21,26,0.0,False,Scheels Field at Nemzek Stadium,Minnesota Duluth,Minnesota State Moorhead,Minnesota Duluth,0
2021,5,Central State (OH),Allen,34,46,0.0,False,McPherson Memorial Stadium,Allen,Central State (OH),Allen,0
2021,5,West Liberty,Glenville State,20,19,0.0,False,West Family Stadium,Glenville State,West Liberty,West Liberty,1
2021,5,Mars Hill,Newberry,28,22,0.0,False,Meares Stadium,Newberry,Mars Hill,Mars Hill,1
2021,5,Franklin Pierce,Assumption,28,35,0.0,False,Sodexo Field,Assumption,Franklin Pierce,Assumption,0
2021,5,Kentucky Wesleyan,Ohio Dominican,30,32,0.0,False,Steele Stadium,Ohio Dominican,Kentucky Wesleyan,Ohio Dominican,0
2021,5,Frostburg State,UNC Pembroke,51,21,0.0,False,Bobcat Stadium (MD),UNC Pembroke,Frostburg State,Frostburg State,1
2021,5,South Carolina State,Bethune-Cookman,42,35,0.0,False,Oliver C. Dawson Stadium,Bethune-Cookman,South Carolina State,South Carolina State,1
2021,5,Holy Cross,Harvard,13,38,0.0,False,Fitton Field,Harvard,Holy Cross,Harvard,0
2021,5,Chattanooga,Western Carolina,45,17,0.0,False,Finley Stadium,Western Carolina,Chattanooga,Chattanooga,1
2021,5,Wilson,Carson-Newman College,31,17,0.0,False,Electric Supply Company Field,Carson-Newman College,Wilson,Wilson,1
2021,5,Saginaw Valley State,Grand Valley State University,17,49,0.0,False,Harvey Randall Wickes Memorial Stadium,Grand Valley State University,Saginaw Valley State,Grand Valley State University,0
2021,5,Southwest Baptist,Indianapolis,10,77,0.0,False,Plaster Sports Complex,Indianapolis,Southwest Baptist,Indianapolis,0
2021,5,Quincy,Missouri S&T,31,28,0.0,False,QU Stadium,Missouri S&T,Quincy,Quincy,1
2021,5,Southern Nazarene,Arkansas Tech,41,51,0.0,False,Southern Nazarene University Football Stadium,Arkansas Tech,Southern Nazarene,Arkansas Tech,0
2021,5,Bowie State,Johnson C Smith,44,7,0.0,False,Bulldogs Stadium,Johnson C Smith,Bowie State,Bowie State,1
2021,5,Morehouse College,Edward Waters,13,37,0.0,False,B.T. Harvey Stadium,Edward Waters,Morehouse College,Edward Waters,0
2021,5,Sioux Falls,Augustana University (SD),28,26,0.0,False,Bob Young Field,Augustana University (SD),Sioux Falls,Sioux Falls,1
2021,5,West Chester,Bloomsburg,21,20,0.0,False,John A. Farrell Stadium,Bloomsburg,West Chester,West Chester,1
2021,5,Indiana-Pennsylvania,Gannon,28,23,0.0,False,George P. Miller Stadium,Gannon,Indiana-Pennsylvania,Indiana-Pennsylvania,1
2021,5,Fort Lewis,Black Hills State,17,45,0.0,False,Ray Dennison Memorial Field,Black Hills State,Fort Lewis,Black Hills State,0
2021,5,New Mexico Highlands,Chadron St,16,46,0.0,False,Sanchez Family Stadium,Chadron St,New Mexico Highlands,Chadron St,0
2021,5,Colorado School Of Mines,Western Colorado,20,14,0.0,False,Marv Kay Stadium at Campbell Field,Western Colorado,Colorado School Of Mines,Colorado School Of Mines,1
2021,5,Emporia State University,Washburn,35,30,0.0,False,Francis G. Welch Stadium,Washburn,Emporia State University,Emporia State University,1
2021,5,UVA Wise,Lenoir-Rhyne,35,28,0.0,False,Carl Smith Stadium,Lenoir-Rhyne,UVA Wise,UVA Wise,1
2021,5,Wayne State (NE),Winona State,38,21,0.0,False,"Memorial Stadium (Wayne, NE)",Winona State,Wayne State (NE),Wayne State (NE),1
2021,5,Fairmont State,Concord University,31,27,0.0,False,Duvall-Rosier Field,Concord University,Fairmont State,Fairmont State,1
2021,5,Wheeling,West Virginia Wesleyan,38,0,0.0,False,Bishop Schmitt Field,West Virginia Wesleyan,Wheeling,Wheeling,1
2021,5,ERSKINE,Virginia University Of Lynchburg,59,13,0.0,False,J.W. Babb Stadium,Virginia University Of Lynchburg,ERSKINE,ERSKINE,1
2021,5,Hampton,Norfolk State,44,47,0.0,False,Armstrong Stadium,Norfolk State,Hampton,Norfolk State,0
2021,5,Richmond,Elon,7,20,0.0,False,E. Claiborne Robins Stadium,Elon,Richmond,Elon,0
2021,5,Illinois State,Missouri State,20,41,0.0,False,Hancock Stadium,Missouri State,Illinois State,Missouri State,0
2021,5,Morehead State,Dayton,45,38,0.0,False,Jayne Stadium,Dayton,Morehead State,Morehead State,1
2021,5,The Citadel,VMI,35,24,0.0,False,Johnson Hagood Stadium,VMI,The Citadel,The Citadel,1
2021,5,Tuskegee,Clark Atlanta,21,0,0.0,False,Abbott Memorial Alumni Stadium,Clark Atlanta,Tuskegee,Tuskegee,1
2021,5,Benedict College,Fort Valley State,14,24,0.0,False,Charlie W. Johnson Stadium,Fort Valley State,Benedict College,Fort Valley State,0
2021,5,Georgia State,App State,16,45,0.0,False,Center Parc Stadium,App State,Georgia State,App State,0
2021,5,Colorado,USC,14,37,0.0,False,Folsom Field,USC,Colorado,USC,0
2021,5,Notre Dame,Cincinnati,13,24,0.0,False,Notre Dame Stadium,Cincinnati,Notre Dame,Cincinnati,0
2021,5,Northern Illinois,Eastern Michigan,27,20,0.0,False,Huskie Stadium,Eastern Michigan,Northern Illinois,Northern Illinois,1
2021,5,Coastal Carolina,UL Monroe,59,6,0.0,False,Brooks Stadium (SC),UL Monroe,Coastal Carolina,Coastal Carolina,1
2021,5,Elizabeth City State,Livingstone,19,13,0.0,False,Roebuck Stadium,Livingstone,Elizabeth City State,Elizabeth City State,1
2021,5,Tennessee Tech,Southeast Missouri State,28,17,0.0,False,Tucker Stadium,Southeast Missouri State,Tennessee Tech,Tennessee Tech,1
2021,5,Lane College,Texas College,71,0,0.0,False,Lane Field,Texas College,Lane College,Lane College,1
2021,5,Minnesota State Mankato,Concordia University St Paul,58,10,0.0,False,Blakeslee Stadium,Concordia University St Paul,Minnesota State Mankato,Minnesota State Mankato,1
2021,5,Northeastern State,Central Missouri,10,41,0.0,False,Gable Field at Doc Wadley Stadium,Central Missouri,Northeastern State,Central Missouri,0
2021,5,Central Oklahoma,Lincoln (MO),69,28,0.0,False,Wantland Stadium,Lincoln (MO),Central Oklahoma,Central Oklahoma,1
2021,5,Missouri Southern State,Pittsburg St,16,20,0.0,False,Fred G. Hughes Stadium,Pittsburg St,Missouri Southern State,Pittsburg St,0
2021,5,Lake Erie,Findlay,10,37,0.0,False,Jack Britt Memorial Stadium,Findlay,Lake Erie,Findlay,0
2021,5,Bemidji State,Minot State,49,35,0.0,False,Chet Anderson Stadium,Minot State,Bemidji State,Bemidji State,1
2021,5,Eastern Kentucky,Tarleton State,20,3,0.0,False,Roy Kidd Stadium,Tarleton State,Eastern Kentucky,Eastern Kentucky,1
2021,5,Kennesaw State,Jacksonville State,31,6,0.0,False,Fifth Third Stadium,Jacksonville State,Kennesaw State,Kennesaw State,1
2021,5,Montana State,Northern Colorado,40,7,0.0,False,Bobcat Stadium,Northern Colorado,Montana State,Montana State,1
2021,5,Delaware,UAlbany,20,15,0.0,False,Delaware Stadium,UAlbany,Delaware,Delaware,1
2021,5,South Dakota,Indiana State,38,10,0.0,False,DakotaDome,Indiana State,South Dakota,South Dakota,1
2021,5,Adams State,South Dakota Mines,42,45,0.0,False,Rex Stadium,South Dakota Mines,Adams State,South Dakota Mines,0
2021,5,Northern State,University of Mary,42,49,0.0,False,Swisher Field,University of Mary,Northern State,University of Mary,0
2021,5,PennWest California,Mercyhurst,37,0,0.0,False,Adamson Stadium,Mercyhurst,PennWest California,PennWest California,1
2021,5,Arkansas-Monticello,Southwestern Oklahoma State,18,16,0.0,False,Convoy Leslie Cotton Boll Stadium,Southwestern Oklahoma State,Arkansas-Monticello,Arkansas-Monticello,1
2021,5,East Central (OK),Southern Arkansas,38,17,0.0,False,Koi Ishto Stadium,Southern Arkansas,East Central (OK),East Central (OK),1
2021,5,Oklahoma Baptist,Harding University,7,31,0.0,False,Crain Family Stadium,Harding University,Oklahoma Baptist,Harding University,0
2021,5,Southeastern Oklahoma State,Henderson State,24,27,0.0,False,Paul Laird Field,Henderson State,Southeastern Oklahoma State,Henderson State,0
2021,5,North Greenville,Mississippi College,21,42,0.0,False,Younts Stadium,Mississippi College,North Greenville,Mississippi College,0
2021,5,North Dakota,North Dakota State,10,16,0.0,False,Alerus Center,North Dakota State,North Dakota,North Dakota State,0
2021,5,Grambling,Alabama A&M,37,28,0.0,False,Eddie Robinson Stadium,Alabama A&M,Grambling,Grambling,1
2021,5,St. Anselm,Bentley,21,34,0.0,False,Grappone Stadium,Bentley,St. Anselm,Bentley,0
2021,5,East Tennessee State,Wofford,27,21,0.0,False,William B. Greene Jr. Stadium,Wofford,East Tennessee State,East Tennessee State,1
2021,5,Bucknell,Cornell,21,10,0.0,False,Christy Mathewson-Memorial Stadium,Cornell,Bucknell,Bucknell,1
2021,5,New Hampshire,James Madison,21,23,0.0,False,Wildcat Stadium,James Madison,New Hampshire,James Madison,0
2021,5,Florida Atlantic,Florida International,58,21,0.0,False,FAU Stadium,Florida International,Florida Atlantic,Florida Atlantic,1
2021,5,Lafayette,Fordham,41,42,0.0,False,Fisher Field,Fordham,Lafayette,Fordham,0
2021,5,East Carolina,Tulane,52,29,0.0,False,Dowdy-Ficklen Stadium,Tulane,East Carolina,East Carolina,1
2021,5,West Virginia,Texas Tech,20,23,0.0,False,Milan Puskar Stadium,Texas Tech,West Virginia,Texas Tech,0
2021,5,Florida State,Syracuse,33,30,0.0,False,Doak Campbell Stadium,Syracuse,Florida State,Florida State,1
2021,5,Boise State,Nevada,31,41,0.0,False,Albertsons Stadium,Nevada,Boise State,Nevada,0
2021,5,Miami (OH),Central Michigan,28,17,0.0,False,Yager Stadium,Central Michigan,Miami (OH),Miami (OH),1
2021,5,South Carolina,Troy,23,14,0.0,False,Williams-Brice Stadium,Troy,South Carolina,South Carolina,1
2021,5,Kansas State,Oklahoma,31,37,0.0,False,Bill Snyder Family Stadium,Oklahoma,Kansas State,Oklahoma,0
2021,5,Akron,Ohio,17,34,0.0,False,InfoCision Stadium,Ohio,Akron,Ohio,0
2021,5,Navy,UCF,34,30,0.0,False,Navy-Marine Corps Memorial Stadium,UCF,Navy,Navy,1
2021,5,Stanford,Oregon,31,24,0.0,False,Stanford Stadium,Oregon,Stanford,Stanford,1
2021,5,Kent State,Bowling Green,27,20,0.0,False,Dix Stadium,Bowling Green,Kent State,Kent State,1
2021,5,Alabama,Ole Miss,42,21,0.0,False,Bryant-Denny Stadium,Ole Miss,Alabama,Alabama,1
2021,5,Rutgers,Ohio State,13,52,0.0,False,SHI Stadium,Ohio State,Rutgers,Ohio State,0
2021,5,SMU,South Florida,41,17,0.0,False,Gerald J. Ford Stadium,South Florida,SMU,SMU,1
2021,5,Georgia Southern,Arkansas State,59,33,0.0,False,Allen E. Paulson Stadium,Arkansas State,Georgia Southern,Georgia Southern,1
2021,5,CSU Pueblo,Colorado Mesa,19,13,0.0,False,Neta and Eddie DeRose ThunderBowl,Colorado Mesa,CSU Pueblo,CSU Pueblo,1
2021,5,Tiffin,Hillsdale,21,24,0.0,False,Frost-Kalnow Stadium,Hillsdale,Tiffin,Hillsdale,0
2021,5,Upper Iowa University,Southwest Minnesota State,14,20,0.0,False,Harms-Eischeid Stadium,Southwest Minnesota State,Upper Iowa University,Southwest Minnesota State,0
2021,5,Western Illinois,Southern Illinois,30,31,0.0,False,Hanson Field,Southern Illinois,Western Illinois,Southern Illinois,0
2021,5,Nicholls,Houston Christian,48,17,0.0,False,Manning Field at John L. Guidry Stadium,Houston Christian,Nicholls,Nicholls,1
2021,5,San Diego,St. Thomas (MN),27,24,0.0,False,Torero Stadium,St. Thomas (MN),San Diego,San Diego,1
2021,5,Bryant,Brown,36,29,0.0,False,Bulldog Stadium,Brown,Bryant,Bryant,1
2021,5,Northern Arizona,Idaho State,48,17,0.0,False,Walkup Skydome,Idaho State,Northern Arizona,Northern Arizona,1
2021,5,Mississippi Valley State,North Carolina Central,17,16,0.0,False,Rice-Totten Field,North Carolina Central,Mississippi Valley State,Mississippi Valley State,1
2021,5,Seton Hill,Edinboro University,7,17,0.0,False,Offutt Field,Edinboro University,Seton Hill,Edinboro University,0
2021,5,Northern Michigan,Wayne State (MI),26,19,0.0,False,Superior Dome,Wayne State (MI),Northern Michigan,Northern Michigan,1
2021,5,Western Oregon,West Texas A&M,41,38,0.0,False,McArthur Field,West Texas A&M,Western Oregon,Western Oregon,1
2021,5,Wagner,Delaware State,27,33,0.0,False,Wagner College Stadium,Delaware State,Wagner,Delaware State,0
2021,5,Stephen F. Austin,Sam Houston,20,21,0.0,False,NRG Stadium,Sam Houston,Stephen F. Austin,Sam Houston,0
2021,5,Murray State,Eastern Illinois,22,6,0.0,False,Roy Stewart Stadium,Eastern Illinois,Murray State,Murray State,1
2021,5,Northern Iowa,Youngstown State,34,7,0.0,False,UNI-Dome,Youngstown State,Northern Iowa,Northern Iowa,1
2021,5,Ball State,Army,28,16,0.0,False,Scheumann Stadium,Army,Ball State,Ball State,1
2021,5,California,Washington State,6,21,0.0,False,California Memorial Stadium,Washington State,California,Washington State,0
2021,5,Kentucky,Florida,20,13,0.0,False,Kroger Field,Florida,Kentucky,Kentucky,1
2021,5,Chowan,Winston-Salem,73,7,0.0,False,Garrison Stadium,Winston-Salem,Chowan,Chowan,1
2021,5,Wingate,Greeneville,43,35,0.0,False,Irwin Belk Stadium,Greeneville,Wingate,Wingate,1
2021,5,Slippery Rock,Clarion,75,0,0.0,False,Mihalik-Thompson Stadium,Clarion,Slippery Rock,Slippery Rock,1
2021,5,NC State,Louisiana Tech,34,27,0.0,False,Carter-Finley Stadium,Louisiana Tech,NC State,NC State,1
2021,5,UTSA,UNLV,24,17,0.0,False,Alamodome,UNLV,UTSA,UTSA,1
2021,5,Florida A&M,Alabama State,28,0,0.0,False,Bragg Memorial Stadium,Alabama State,Florida A&M,Florida A&M,1
2021,5,Mercer,Samford,45,42,0.0,False,Five Star Stadium at the Moye Complex,Samford,Mercer,Mercer,1
2021,5,Virginia St,St. Augustine's,33,9,0.0,False,Rogers Stadium (VA),St. Augustine's,Virginia St,Virginia St,1
2021,5,West Georgia,West Alabama,20,38,0.0,False,University Stadium (GA),West Alabama,West Georgia,West Alabama,0
2021,5,Rice,Southern Miss,24,19,0.0,False,Rice Stadium,Southern Miss,Rice,Rice,1
2021,5,New Mexico,Air Force,10,38,0.0,False,University Stadium (NM),Air Force,New Mexico,Air Force,0
2021,5,Texas A&M,Mississippi State,22,26,0.0,False,Kyle Field,Mississippi State,Texas A&M,Mississippi State,0
2021,5,Iowa State,Kansas,59,7,0.0,False,Jack Trice Stadium,Kansas,Iowa State,Iowa State,1
2021,5,Oklahoma State,Baylor,24,14,0.0,False,Boone Pickens Stadium,Baylor,Oklahoma State,Oklahoma State,1
2021,5,Northwestern State,Incarnate Word,27,38,0.0,False,Harry Turpin Stadium,Incarnate Word,Northwestern State,Incarnate Word,0
2021,5,Abilene Christian,Central Arkansas,21,42,0.0,False,Wildcat Stadium (TX),Central Arkansas,Abilene Christian,Central Arkansas,0
2021,5,South Dakota State,Utah Tech,55,7,0.0,False,Dana J. Dykhouse Stadium,Utah Tech,South Dakota State,South Dakota State,1
2021,5,North Alabama,Campbell,31,48,0.0,False,Braly Municipal Stadium,Campbell,North Alabama,Campbell,0
